id,filename,text,language
1,0001.wav,"नमस्ते बॉस, मैं आपकी मदद के लिए यहाँ हूँ।",hi
2,0002.wav,"आप जो कहेंगे, मैं ध्यान से सुनूँगा।",hi
3,0003.wav,"सब कुछ ठीक है, घबराने की जरूरत नहीं है।",hi
4,0004.wav,"आज का दिन शांत और साफ है।",hi
5,0005.wav,"आप आराम से बोल सकते हैं।",hi
6,0006.wav,"मैं आपकी बात समझ रहा हूँ।",hi
7,0007.wav,"चलिए, इसे धीरे-धीरे करते हैं।",hi
8,0008.wav,"आपका सिस्टम अभी ठीक से काम कर रहा है।",hi
9,0009.wav,"अगर आप चाहें तो हम फिर से कोशिश कर सकते हैं।",hi
10,0010.wav,"यह काम थोड़ा समय ले सकता है।",hi
11,0011.wav,"मैं अभी आपके निर्देश का इंतज़ार कर रहा हूँ।",hi
12,0012.wav,"जो भी ज़रूरी होगा, मैं बता दूँगा।",hi
13,0013.wav,"आपको चिंता करने की आवश्यकता नहीं है।",hi
14,0014.wav,"यह एक सुरक्षित प्रक्रिया है।",hi
15,0015.wav,"आप जब चाहें, मुझे रोक सकते हैं।",hi
16,0016.wav,"सब कुछ नियंत्रण में है।",hi
17,0017.wav,"हम सही दिशा में आगे बढ़ रहे हैं।",hi
18,0018.wav,"आप मुझ पर भरोसा कर सकते हैं।",hi
19,0019.wav,"अभी सब कुछ सामान्य है।",hi
20,0020.wav,"यह आदेश सफलतापूर्वक पूरा हो गया है।",hi
21,0021.wav,"अगर कोई समस्या होगी, मैं बता दूँगा।",hi
22,0022.wav,"आपका समय क़ीमती है।",hi
23,0023.wav,"मैं आपकी मदद करने के लिए बना हूँ।",hi
24,0024.wav,"यह निर्णय आपने सही लिया है।",hi
25,0025.wav,"प्रक्रिया अब शुरू हो रही है।",hi
26,0026.wav,"कृपया थोड़ा इंतज़ार करें।",hi
27,0027.wav,"आपका काम लगभग पूरा हो चुका है।",hi
28,0028.wav,"मैं पूरी कोशिश कर रहा हूँ।",hi
29,0029.wav,"आप चाहें तो आगे बढ़ सकते हैं।",hi
30,0030.wav,"यह जानकारी सुरक्षित रखी जाएगी।",hi
31,0031.wav,"सिस्टम पूरी तरह स्थिर है।",hi
32,0032.wav,"मैं आपको हर चरण पर बताऊँगा।",hi
33,0033.wav,"आप निश्चिंत रह सकते हैं।",hi
34,0034.wav,"यह कार्य सावधानी से किया जा रहा है।",hi
35,0035.wav,"अगर आप चाहें तो इसे बाद में कर सकते हैं।",hi
36,0036.wav,"सब कुछ योजना के अनुसार चल रहा है।",hi
37,0037.wav,"आपका आदेश स्पष्ट है।",hi
38,0038.wav,"मैं इसे पूरा कर रहा हूँ।",hi
39,0039.wav,"प्रक्रिया अब समाप्त होने वाली है।",hi
40,0040.wav,"सब कुछ सही ढंग से सहेजा गया है।",hi
41,0041.wav,"आप जब तैयार हों, बताइए।",hi
42,0042.wav,"यह एक अच्छा निर्णय था।",hi
43,0043.wav,"मैं यहीं मौजूद हूँ।",hi
44,0044.wav,"आपका दिन शुभ हो।",hi
45,0045.wav,"अगर कुछ और चाहिए, तो बताइए।",hi
46,0046.wav,"मैं आपकी सहायता के लिए हमेशा तैयार हूँ।",hi
47,0047.wav,"यह कार्य अब पूरा हो गया है।",hi
48,0048.wav,"धन्यवाद बॉस, आपने बहुत अच्छा किया।",hi
49,0049.wav,"सब कुछ सुरक्षित रूप से पूरा किया जा रहा है।",hi
50,0050.wav,"अगर आप तैयार हों, तो हम आगे बढ़ सकते हैं।",hi